D0,D1,D2,D3,D4,D5,D6,D7
-2.104932,-1.5064425,-0.4791413,1.1149715,-0.03945864,-0.915176,-1.7410429,0.03267608
-0.7347955,-0.3089745,-0.11179903,0.72011435,2.501271,-1.5371448,-0.45257425,-0.59732944
0.80812126,-0.004181832,-0.09541842,-0.7408378,1.418198,-1.016372,2.2741194,0.50980747
0.49323112,1.3182154,-0.17720717,0.030727044,-2.0243802,1.2507857,-1.9273068,1.7444322
0.30962825,0.58023673,1.1883552,0.239887,1.1224806,-1.2787138,1.1681645,0.50503343
-0.49809694,0.6428375,-2.2122245,-0.10282682,0.01271856,-0.9656709,0.14411306,0.23733637
1.2555652,1.6878803,1.3256211,-1.7463956,-0.28825462,-0.568033,1.9164082,0.48054332
-0.124283366,-0.5386569,-0.30188465,0.12286964,0.18784997,-1.9444798,1.1074556,1.6906092
-0.98132,1.8686726,-0.09605579,-0.40977138,1.701944,0.20191576,-0.02035597,-0.7627445
0.043988585,0.76918155,-1.9706519,-2.131092,0.4124324,-0.25337806,0.09062138,0.401082
0.18729219,0.59958893,-1.217372,-0.093340546,1.4774522,-0.9814863,0.61126196,3.046856
1.2119529,-0.23078826,-0.8249071,-2.4223924,-1.6735467,0.07516401,1.748428,-0.8021283
-0.5407243,2.0470326,-2.1332095,0.7127968,1.4241552,0.8675099,0.23030877,0.10387105
1.2763276,-0.5612491,0.6692108,-1.8330007,-1.2854335,0.75439453,-1.558758,-0.49696833
-0.60106605,-0.8680073,-1.0937626,-0.86719537,-0.7785772,-1.2836442,0.9973917,-1.9371059
-0.2500629,-1.1878852,-1.8452616,-0.33218998,-0.2726686,-0.33647493,-2.0070095,0.44763222
-0.34389427,0.18931161,0.73157275,-1.058105,-0.0003175754,-0.024493884,-0.73457915,-2.7719493
0.75400513,0.49504137,0.4513207,0.5749247,-0.062301703,1.1866974,0.17465761,-0.90090996
1.6000462,-1.5228155,0.8717032,1.1631956,1.2959714,0.24060996,-0.5518421,0.28051805
1.058913,0.31124932,-1.6417923,0.22832629,1.6845917,0.9415803,0.7250715,-0.103297874
-0.6302798,-1.6324928,-0.2752511,0.64514923,-0.07970818,0.21989171,-1.8203915,0.85574824
-1.4906821,1.5704482,0.6995041,2.7206392,-1.4021869,-0.45003253,-0.614948,0.9429076
-1.1074598,-0.59749657,-0.2716254,-0.14549315,0.42516464,0.6230279,1.5895089,-2.4653387
-1.2415977,0.6760896,-0.7596821,-0.32571992,-0.8919877,-0.74940324,-1.6089783,-1.587379
0.1783849,-0.23198879,0.3154686,-1.276881,-0.38887873,0.62560296,-1.3114921,-2.3128505
0.17748728,0.99871266,-1.973979,2.1205657,1.3904223,-0.1997018,-0.42323256,-0.6231784
-0.9002897,-2.1202693,-0.788294,-1.151608,-0.12233161,0.49668247,-1.9370438,0.5311793
-1.1890898,-1.1121583,-3.1224787,-0.6283239,1.5099684,-0.14901055,0.30563432,0.71601945
0.63655865,-0.52833354,-1.4049616,-0.18495838,-0.8320076,-1.2595993,1.1103129,1.0510995
0.1655989,0.21933289,-0.25540787,-0.8293592,-1.6718022,-1.258089,1.0079591,-1.7031679
0.3478888,-2.127673,-0.8666511,0.7283976,0.07713611,-2.4718268,-0.2137289,-2.2141216
-0.030531965,1.240462,0.6970698,0.8873762,-0.6544475,-1.300609,2.1778543,-0.21967608
2.1966627,-0.2715006,-0.6540902,-0.3821785,-0.9070296,-0.6655701,1.0670707,-1.4178667
0.43374676,1.3364551,2.239793,0.9865993,0.79118425,1.3481364,-1.2826046,0.5840517
0.6341995,1.4080628,-0.15953454,-0.22750624,1.9219701,-1.2008079,-1.0261867,-0.32155943
-1.0196104,-0.8549708,0.11997003,-0.31219125,1.546613,0.45153975,1.3275374,-1.0646946
-0.030905344,-0.69938236,-0.5740484,0.6737441,0.2926111,-1.426864,2.337438,1.5260794
1.0932577,0.6599908,-0.69880015,-0.70234525,0.9801025,-1.675949,-1.3971599,-0.28406045
-1.117676,-1.1490757,-1.1633134,0.42340448,-1.5749223,-1.1677167,1.7581675,-1.594085
-1.8874958,1.4341449,1.100404,-2.5122159,0.47817683,2.1480753,1.0973783,-1.6924913
